"","monat","jahr","preis.liter","kosten.km","fracht.median","diesel.anteil","mo_ja"
"1","01","2007",1.083,0.3249,1.30532161786912,25,"200701"
"2","02","2007",1.092,0.3276,1.32081406654465,25,"200702"
"3","03","2007",1.12,0.336,1.34137684463605,25,"200703"
"4","04","2007",1.149,0.3447,1.2642923591547,27,"200704"
"5","05","2007",1.145,0.3435,1.30749541676673,26,"200705"
"6","06","2007",1.149,0.3447,1.44900668480148,24,"200706"
"7","07","2007",1.165,0.3495,1.39086565032598,25,"200707"
"8","08","2007",1.156,0.3468,1.16885719424491,30,"200708"
"9","09","2007",1.184,0.3552,1.45799249920331,24,"200709"
"10","10","2007",1.2,0.36,1.36789437860991,26,"200710"
"11","11","2007",1.313,0.3939,1.419754280605,28,"200711"
"12","12","2007",1.283,0.3849,1.33041015666512,29,"200712"
"13","01","2006",1.103,0.3309,1.13165235598642,29,"200601"
"14","02","2006",1.099,0.3297,1.22029000301739,27,"200602"
"15","03","2006",1.119,0.3357,1.10124304119278,30,"200603"
"16","04","2006",1.149,0.3447,1.21949167632959,28,"200604"
"17","05","2006",1.137,0.3411,1.2979941046344,26,"200605"
"18","06","2006",1.138,0.3414,1.31649430871499,26,"200606"
"19","07","2006",1.159,0.3477,1.18040752945586,29,"200607"
"20","08","2006",1.158,0.3474,1.22802496382495,28,"200608"
"21","09","2006",1.103,0.3309,1.29805838608376,25,"200609"
"22","10","2006",1.089,0.3267,1.5288310495394,21,"200610"
"23","11","2006",1.083,0.3249,1.31859816806053,25,"200611"
"24","12","2006",1.083,0.3249,1.32345524115018,25,"200612"
"25","01","2005",0.964,0.2892,1.17994100294985,25,"200501"
"26","02","2005",0.951,0.2853,1.24367502416283,23,"200502"
"27","03","2005",1.017,0.3051,1.33919190323308,23,"200503"
"28","04","2005",1.048,0.3144,1.18984662501877,26,"200504"
"29","05","2005",1.045,0.3135,1.25004066618655,25,"200505"
"30","06","2005",1.07,0.321,1.24382586181322,26,"200506"
"31","07","2005",1.115,0.3345,1.30973682417894,26,"200507"
"32","08","2005",1.12,0.336,1.24980378392952,27,"200508"
"33","09","2005",1.129,0.3387,1.29391385174388,26,"200509"
"34","10","2005",1.139,0.3417,1.28155815899582,27,"200510"
"35","11","2005",1.106,0.3318,1.19463373083475,28,"200511"
"36","12","2005",1.099,0.3297,1.14942528735632,29,"200512"
