"","X","mo_ja.x","fracht.median","kosten.km","Dif.fracht.median","Dif.kosten.km","Dif.kosten.km.cent","Dif.fracht.median.cent","diesel.anteil"
"1",1,"200501",1.179941003,0.2892,NA,NA,0,0,25
"2",4,"200502",1.243675024,0.2853,0.06,-0.004,0,6,23
"3",7,"200503",1.339191903,0.3051,0.1,0.02,2,10,23
"4",10,"200504",1.189846625,0.3144,-0.15,0.009,1,-15,26
"5",13,"200505",1.190004619,0.3135,0,-0.001,0,0,26
"6",16,"200506",1.243825862,0.321,0.05,0.008,1,5,26
"7",19,"200507",1.309736824,0.3345,0.07,0.014,1,7,26
"8",22,"200508",1.229873714,0.336,-0.08,0.002,0,-8,27
"9",25,"200509",1.285842294,0.3387,0.06,0.003,0,6,26
"10",28,"200510",1.214972121,0.3417,-0.07,0.003,0,-7,28
"11",31,"200511",1.135632042,0.3318,-0.08,-0.01,-1,-8,29
"12",34,"200512",1.133258679,0.3297,0,-0.002,0,0,29
"13",2,"200601",1.087287154,0.3309,-0.05,0.001,0,-5,30
"14",5,"200602",1.170876623,0.3297,0.08,-0.001,0,8,28
"15",8,"200603",1.079200189,0.3357,-0.09,0.006,1,-9,31
"16",11,"200604",1.219491676,0.3447,0.14,0.009,1,14,28
"17",14,"200605",1.297267797,0.3411,0.08,-0.004,0,8,26
"18",17,"200606",1.298093678,0.3414,0,0,0,0,26
"19",20,"200607",1.160483859,0.3477,-0.14,0.006,1,-14,30
"20",23,"200608",1.185626989,0.3474,0.03,0,0,3,29
"21",26,"200609",1.260821574,0.3309,0.08,-0.017,-2,8,26
"22",29,"200610",1.492134321,0.3267,0.23,-0.004,0,23,22
"23",32,"200611",1.318598168,0.3249,-0.17,-0.002,0,-17,25
"24",35,"200612",1.323455241,0.3249,0,0,0,0,25
"25",3,"200701",1.299751268,0.3249,-0.02,0,0,-2,25
"26",6,"200702",1.299685908,0.3276,0,0.003,0,0,25
"27",9,"200703",1.296696511,0.336,0,0.008,1,0,26
"28",12,"200704",1.264292359,0.3447,-0.03,0.009,1,-3,27
"29",15,"200705",1.307495417,0.3435,0.04,-0.001,0,4,26
"30",18,"200706",1.449006685,0.3447,0.14,0.001,0,14,24
"31",21,"200707",1.39086565,0.3495,-0.06,0.005,0,-6,25
"32",24,"200708",1.134997149,0.3468,-0.26,-0.003,0,-26,31
"33",27,"200709",1.457992499,0.3552,0.32,0.008,1,32,24
"34",30,"200710",1.367894379,0.36,-0.09,0.005,0,-9,26
"35",33,"200711",1.419754281,0.3939,0.05,0.034,3,5,28
"36",36,"200712",1.312640385,0.3849,-0.11,-0.009,-1,-11,29
